N O R M A L   C O E F F I C I E N T  ( CN ) =  0.658144055868D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.635718340982D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.170340216080D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.661846D+00     0.164467D+01
    2         2         1       0.955707D+00     0.500812D+00
    3         3         1       0.116519D+01     0.340873D+00
    4         4         1       0.130184D+01     0.132351D+00

    5         1         2       0.780463D+00     0.182697D+01
    6         2         2       0.106858D+01     0.454554D+00
    7         3         2       0.123837D+01     0.266923D+00
    8         4         2       0.133703D+01     0.979990D-01

    9         1         3       0.780463D+00     0.182697D+01
   10         2         3       0.106858D+01     0.454554D+00
   11         3         3       0.123837D+01     0.266923D+00
   12         4         3       0.133703D+01     0.979990D-01

   13         1         4       0.661846D+00     0.164467D+01
   14         2         4       0.955707D+00     0.500812D+00
   15         3         4       0.116519D+01     0.340873D+00
   16         4         4       0.130184D+01     0.132351D+00

T I M E   S T E P   N U M B E R  ( it ):   24

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.658306200617D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.635874960782D+00
D R A G   C O E F F I C I E N T  ( CD ) = -0.170382182229D+00

E L E M E N T   G R O U P   D A T A

 ELM. NO.   ROW NO.   COL NO.          GT            Cp
    1         1         1       0.661979D+00     0.164506D+01
    2         2         1       0.955947D+00     0.500970D+00
    3         3         1       0.116554D+01     0.340993D+00
    4         4         1       0.130230D+01     0.132400D+00

    5         1         2       0.780615D+00     0.182735D+01
    6         2         2       0.106883D+01     0.454665D+00
    7         3         2       0.123870D+01     0.266994D+00
    8         4         2       0.133746D+01     0.980161D-01

    9         1         3       0.780615D+00     0.182735D+01
   10         2         3       0.106883D+01     0.454665D+00
   11         3         3       0.123870D+01     0.266994D+00
   12         4         3       0.133746D+01     0.980161D-01

   13         1         4       0.661979D+00     0.164506D+01
   14         2         4       0.955947D+00     0.500970D+00
   15         3         4       0.116554D+01     0.340993D+00
   16         4         4       0.130230D+01     0.132400D+00

T I M E   S T E P   N U M B E R  ( it ):   25

N O R M A L   C O E F F I C I E N T  ( CN ) =  0.658447270274D+00
L I F T   C O E F F I C I E N T  ( CL ) = -0.636011223607D+00
